FOODID	FOODNAME
921	KIVENNÄISVESI, VÄHÄNATRIUMINEN
922	VESI, VESIJOHTOVESI
923	TEE, YRTTITEE
924	PUNAVIINI
925	VALKOVIINI, KUIVA
926	VALKOVIINI, MAKEA
928	VIRVOITUSJUOMA, KOLAJUOMA, KESKIARVO
929	VIINIETIKKA
930	KAHVI, SUODATINKAHVIJUOMA
931	KAHVI, PANNUKAHVIJUOMA
932	KAHVI, CAPPUCCINO, MAKEUTTAMATON, TÄYSMAITO
933	VÄKIVIINAETIKKA
934	HUNAJA-OMENA-VIINIETIKKA
936	MIETO VIINI, 4-5 TIL% ALKOHOLIA
937	TEE, VIHREÄ TEE
938	VIRVOITUSJUOMA, OSITTAIN KEINOTEKOISESTI MAKEUTETTU
939	SIIDERI, MAKEA, 4,7 TIL% ALKOHOLIA
940	OLUT, VAHVA, 7,5-8 TIL% ALKOHOLIA
941	VIRVOITUSJUOMA, KOLAJUOMA LIGHT, OSITTAIN KEINOTEKOISESTI MAKEUTETTU
942	KERMALIKÖÖRI, 15-17 TIL% ALKOHOLIA
943	TUOREMEHUCAMPARI, KATKERODRINKKI
944	IRISH COFFEE KAHVIJUOMA, 8 TIL%
945	VIINIGLÖGI
946	TÄRKKELYSSIIRAPPI, GLUKOOSISIIRAPPI
947	BLOODY MARY TOMAATTIMEHUVODKA
948	ROMMIKOLA
949	SCREWDRIVER, TUOREMEHUVODKA
950	GIN TONIC, 4 TIL%
951	TOM COLLINS GINIDRINKKI
952	DRY MARTINI GINIDRINKKI
953	MUNATOTI
1000	RUISVELLI, VESI, RUISJAUHO, SUOLAA
1001	RUISVELLI, MEHU, RUISJAUHO, SUOLAA
1002	RUISPUURO, VESI, RUISJAUHO, SUOLAA
1003	RUISPUURO, MAITO, RUISJAUHO, SUOLAA
1005	RUIS-PERUNAPUURO, VESI, SUOLAA
1006	RUIS-MARJAPUURO, VESI, PUOLUKKA, SOKERI, SUOLAA
1007	RUISPUURO, RUISJAUHO, PUOLUKKA, SOKERITON, SUOLAA
1009	RUISLEIPÄ, PERINTEINEN, VESI, TÄYSJYVÄRUISJAUHO
1011	SEKALEIPÄ, HAPANIMELÄLEIPÄ, PIIMÄ, VEHNÄ-, RUISJAUHO
1013	KARJALANPIIRAKKA, PERINTEINEN, VOIDELTU, RIISI, RUISVEHNÄKUORI
1014	PERUNAPIIRAKKA, RUISKUORI
1015	MARJAPIIRAKKA, RUKIINEN, MARJASURVOS, RUISKUORI
1017	KEITINPIIRAKKA, RIISI, MUNA, RUISKUORI, SULHASPIIRAKKA
1022	LEIPÄPUURO, VESI, PUOLUKKA, MANNASUURIMO, RUISLEIPÄ, SOKERIA, SUOLAA
1023	MÄMMI
